Station Name,Time Period,Avg Daily Entries,December_21_2024,Season
Woodley Park,Late Night (12am-Close),0.0K,December_21_2024,Winter
Wiehle-Reston East,Late Night (12am-Close),0.0K,December_21_2024,Winter
Wheaton,Late Night (12am-Close),0.0K,December_21_2024,Winter
West Hyattsville,Late Night (12am-Close),0.0K,December_21_2024,Winter
West Falls Church,Late Night (12am-Close),0.0K,December_21_2024,Winter
Waterfront,Late Night (12am-Close),0.0K,December_21_2024,Winter
Virginia Sq-GMU,Late Night (12am-Close),0.0K,December_21_2024,Winter
Vienna,Late Night (12am-Close),0.0K,December_21_2024,Winter
Van Ness-UDC,Late Night (12am-Close),0.1K,December_21_2024,Winter
Van Dorn Street,Late Night (12am-Close),0.0K,December_21_2024,Winter
Union Station,Late Night (12am-Close),0.0K,December_21_2024,Winter
U Street,Late Night (12am-Close),0.0K,December_21_2024,Winter
Tysons,Late Night (12am-Close),0.0K,December_21_2024,Winter
Twinbrook,Late Night (12am-Close),0.0K,December_21_2024,Winter
Tenleytown-AU,Late Night (12am-Close),0.0K,December_21_2024,Winter
Takoma,Late Night (12am-Close),0.0K,December_21_2024,Winter
Suitland,Late Night (12am-Close),0.0K,December_21_2024,Winter
Stadium-Armory,Late Night (12am-Close),0.0K,December_21_2024,Winter
Spring Hill,Late Night (12am-Close),0.0K,December_21_2024,Winter
Southern Ave,Late Night (12am-Close),0.0K,December_21_2024,Winter
Smithsonian,Late Night (12am-Close),0.0K,December_21_2024,Winter
Silver Spring,Late Night (12am-Close),0.0K,December_21_2024,Winter
Shaw-Howard U,Late Night (12am-Close),0.0K,December_21_2024,Winter
Shady Grove,Late Night (12am-Close),0.0K,December_21_2024,Winter
Rosslyn,Late Night (12am-Close),0.0K,December_21_2024,Winter
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0K,December_21_2024,Winter
Rockville,Late Night (12am-Close),0.0K,December_21_2024,Winter
Rhode Island Ave,Late Night (12am-Close),0.0K,December_21_2024,Winter
Reston Town Center,Late Night (12am-Close),0.0K,December_21_2024,Winter
Potomac Yard,Late Night (12am-Close),0.0K,December_21_2024,Winter
Potomac Ave,Late Night (12am-Close),0.0K,December_21_2024,Winter
Pentagon City,Late Night (12am-Close),0.0K,December_21_2024,Winter
Pentagon,Late Night (12am-Close),0.0K,December_21_2024,Winter
North Bethesda,Late Night (12am-Close),0.0K,December_21_2024,Winter
NoMa-Gallaudet U,Late Night (12am-Close),0.0K,December_21_2024,Winter
New Carrollton,Late Night (12am-Close),0.0K,December_21_2024,Winter
Naylor Road,Late Night (12am-Close),0.0K,December_21_2024,Winter
Navy Yard-Ballpark,Late Night (12am-Close),0.0K,December_21_2024,Winter
Mt Vernon Sq,Late Night (12am-Close),0.0K,December_21_2024,Winter
Morgan Boulevard,Late Night (12am-Close),0.0K,December_21_2024,Winter
Minnesota Ave,Late Night (12am-Close),0.0K,December_21_2024,Winter
Metro Center,Late Night (12am-Close),0.0K,December_21_2024,Winter
Medical Center,Late Night (12am-Close),0.0K,December_21_2024,Winter
McPherson Sq,Late Night (12am-Close),0.0K,December_21_2024,Winter
McLean,Late Night (12am-Close),0.0K,December_21_2024,Winter
Loudoun Gateway,Late Night (12am-Close),0.0K,December_21_2024,Winter
Landover,Late Night (12am-Close),0.0K,December_21_2024,Winter
L'Enfant Plaza,Late Night (12am-Close),0.1K,December_21_2024,Winter
King St-Old Town,Late Night (12am-Close),0.0K,December_21_2024,Winter
Judiciary Square,Late Night (12am-Close),0.0K,December_21_2024,Winter
Innovation Center,Late Night (12am-Close),0.0K,December_21_2024,Winter
Hyattsville Crossing,Late Night (12am-Close),0.0K,December_21_2024,Winter
Huntington,Late Night (12am-Close),0.0K,December_21_2024,Winter
Herndon,Late Night (12am-Close),0.0K,December_21_2024,Winter
Grosvenor-Strathmore,Late Night (12am-Close),0.0K,December_21_2024,Winter
Greensboro,Late Night (12am-Close),0.0K,December_21_2024,Winter
Greenbelt,Late Night (12am-Close),0.0K,December_21_2024,Winter
Glenmont,Late Night (12am-Close),0.0K,December_21_2024,Winter
Georgia Ave-Petworth,Late Night (12am-Close),0.0K,December_21_2024,Winter
Gallery Place,Late Night (12am-Close),0.0K,December_21_2024,Winter
Friendship Heights,Late Night (12am-Close),0.0K,December_21_2024,Winter
Franconia-Springfield,Late Night (12am-Close),0.0K,December_21_2024,Winter
Fort Totten,Late Night (12am-Close),0.0K,December_21_2024,Winter
Forest Glen,Late Night (12am-Close),0.0K,December_21_2024,Winter
Foggy Bottom-GWU,Late Night (12am-Close),0.0K,December_21_2024,Winter
Federal Triangle,Late Night (12am-Close),0.0K,December_21_2024,Winter
Federal Center SW,Late Night (12am-Close),0.0K,December_21_2024,Winter
Farragut West,Late Night (12am-Close),0.0K,December_21_2024,Winter
Farragut North,Late Night (12am-Close),0.0K,December_21_2024,Winter
Eisenhower Ave,Late Night (12am-Close),0.0K,December_21_2024,Winter
Eastern Market,Late Night (12am-Close),0.0K,December_21_2024,Winter
East Falls Church,Late Night (12am-Close),0.0K,December_21_2024,Winter
Dupont Circle,Late Night (12am-Close),0.0K,December_21_2024,Winter
Dunn Loring,Late Night (12am-Close),0.0K,December_21_2024,Winter
Dulles Airport,Late Night (12am-Close),0.0K,December_21_2024,Winter
Downtown Largo,Late Night (12am-Close),0.0K,December_21_2024,Winter
Deanwood,Late Night (12am-Close),0.0K,December_21_2024,Winter
Crystal City,Late Night (12am-Close),0.0K,December_21_2024,Winter
Court House,Late Night (12am-Close),0.0K,December_21_2024,Winter
Congress Heights,Late Night (12am-Close),0.0K,December_21_2024,Winter
Columbia Heights,Late Night (12am-Close),0.0K,December_21_2024,Winter
College Park-U of Md,Late Night (12am-Close),0.0K,December_21_2024,Winter
Cleveland Park,Late Night (12am-Close),0.0K,December_21_2024,Winter
Clarendon,Late Night (12am-Close),0.0K,December_21_2024,Winter
Cheverly,Late Night (12am-Close),0.0K,December_21_2024,Winter
Capitol South,Late Night (12am-Close),0.0K,December_21_2024,Winter
Capitol Heights,Late Night (12am-Close),0.0K,December_21_2024,Winter
Brookland-CUA,Late Night (12am-Close),0.0K,December_21_2024,Winter
Branch Ave,Late Night (12am-Close),0.0K,December_21_2024,Winter
Braddock Road,Late Night (12am-Close),0.0K,December_21_2024,Winter
Bethesda,Late Night (12am-Close),0.0K,December_21_2024,Winter
